Date, New York,Seattle
2010-01-03,60,15
2010-01-10,61,11
2010-01-17,52,13
2010-01-24,51,12
2010-01-31,44,16
2010-02-07,55,12
2010-02-14,44,17
2010-02-21,60,11
2010-02-28,43,13
2010-03-07,57,13
2010-03-14,50,14
2010-03-21,49,21
2010-03-28,48,18
2010-04-04,46,17
2010-04-11,52,15
2010-04-18,67,15
2010-04-25,45,12
2010-05-02,42,20
2010-05-09,56,13
2010-05-16,48,13
2010-05-23,44,18
2010-05-30,48,16
2010-06-06,51,15
2010-06-13,47,16
2010-06-20,45,15
2010-06-27,52,15
2010-07-04,47,19
2010-07-11,49,19
2010-07-18,48,17
2010-07-25,55,18
2010-08-01,51,18
2010-08-08,62,16
2010-08-15,61,20
2010-08-22,49,19
2010-08-29,50,15
2010-09-05,47,14
2010-09-12,52,12
2010-09-19,46,16
2010-09-26,46,19
2010-10-03,43,12
2010-10-10,53,18
2010-10-17,45,15
2010-10-24,39,11
2010-10-31,46,13
2010-11-07,43,14
2010-11-14,46,15
2010-11-21,47,17
2010-11-28,47,14
2010-12-05,50,13
2010-12-12,44,15
2010-12-19,49,14
2010-12-26,100,21
2011-01-02,59,18
2011-01-09,68,20
2011-01-16,54,14
2011-01-23,59,17
2011-01-30,63,14
2011-02-06,50,17
2011-02-13,56,14
2011-02-20,53,15
2011-02-27,51,18
2011-03-06,49,14
2011-03-13,47,17
2011-03-20,49,18
2011-03-27,47,19
2011-04-03,45,18
2011-04-10,52,23
2011-04-17,49,18
2011-04-24,56,13
2011-05-01,49,15
2011-05-08,54,16
2011-05-15,57,16
2011-05-22,59,18
2011-05-29,57,20
2011-06-05,61,19
2011-06-12,52,17
2011-06-19,59,25
2011-06-26,57,17
2011-07-03,55,19
2011-07-10,55,19
2011-07-17,55,20
2011-07-24,63,18
2011-07-31,53,22
2011-08-07,56,19
2011-08-14,55,20
2011-08-21,73,18
2011-08-28,60,18
2011-09-04,52,17
2011-09-11,60,18
2011-09-18,54,14
2011-09-25,52,12
2011-10-02,48,17
2011-10-09,50,14
2011-10-16,48,16
2011-10-23,51,10
2011-10-30,42,14
2011-11-06,34,20
2011-11-13,49,10
2011-11-20,43,14
2011-11-27,50,13
2011-12-04,43,15
2011-12-11,49,16
2011-12-18,54,17
2011-12-25,59,15
2012-01-01,64,17
2012-01-08,55,16
2012-01-15,58,28
2012-01-22,51,14
2012-01-29,47,14
2012-02-05,49,17
2012-02-12,49,14
2012-02-19,57,20
2012-02-26,51,16
2012-03-04,56,22
2012-03-11,49,14
2012-03-18,58,16
2012-03-25,51,19
2012-04-01,49,19
2012-04-08,49,12
2012-04-15,58,18
2012-04-22,56,17
2012-04-29,59,17
2012-05-06,58,21
2012-05-13,49,19
2012-05-20,53,20
2012-05-27,53,17
2012-06-03,56,18
2012-06-10,54,19
2012-06-17,54,19
2012-06-24,52,24
2012-07-01,53,17
2012-07-08,60,18
2012-07-15,64,19
2012-07-22,66,22
2012-07-29,65,23
2012-08-05,63,19
2012-08-12,70,22
2012-08-19,62,18
2012-08-26,63,17
2012-09-02,53,19
2012-09-09,52,15
2012-09-16,52,19
2012-09-23,52,15
2012-09-30,47,18
2012-10-07,51,13
2012-10-14,49,14
2012-10-21,50,13
2012-10-28,81,17
2012-11-04,59,17
2012-11-11,44,16
2012-11-18,49,17
2012-11-25,48,14
2012-12-02,45,15
2012-12-09,43,16
2012-12-16,51,15
2012-12-23,63,17
2012-12-30,73,19
2013-01-06,64,19
2013-01-13,59,16
2013-01-20,58,16
2013-01-27,50,16
2013-02-03,71,17
2013-02-10,56,16
2013-02-17,49,15
2013-02-24,59,17
2013-03-03,59,19
2013-03-10,54,20
2013-03-17,55,19
2013-03-24,55,20
2013-03-31,47,16
2013-04-07,56,17
2013-04-14,53,17
2013-04-21,56,15
2013-04-28,54,21
2013-05-05,52,18
2013-05-12,56,19
2013-05-19,58,19
2013-05-26,53,18
2013-06-02,57,23
2013-06-09,59,22
2013-06-16,55,20
2013-06-23,58,23
2013-06-30,67,22
2013-07-07,66,19
2013-07-14,65,21
2013-07-21,64,20
2013-07-28,70,21
2013-08-04,59,22
2013-08-11,68,24
2013-08-18,57,22
2013-08-25,54,21
2013-09-01,56,15
2013-09-08,60,15
2013-09-15,55,16
2013-09-22,54,17
2013-09-29,60,18
2013-10-06,54,15
2013-10-13,50,18
2013-10-20,48,20
2013-10-27,52,13
2013-11-03,51,18
2013-11-10,56,15
2013-11-17,53,16
2013-11-24,60,14
2013-12-01,51,14
2013-12-08,57,18
2013-12-15,58,19
2013-12-22,63,19
2013-12-29,92,22
